Transaction ID,Date,Day of Week,Time,Type of Card,Entry Mode,Amount,Type of Transaction,Merchant Group,Country of Transaction,Shipping Address,Country of Residence,Gender,Age,Bank,Fraud,Amount_GBP,Amount_INR,Year,Month,Month_Name,Day,International_Transaction,Shipping_Mismatch,Age_Group
#3577 209,2020-10-14,Wednesday,19,Visa,Tap,£5,POS,Entertainment,United Kingdom,United Kingdom,United Kingdom,M,25.2,RBS,0,5.0,646.6500000000001,2020,10,October,14,Domestic,Match,26-35
#3039 221,2020-10-14,Wednesday,17,MasterCard,PIN,£288,POS,Services,USA,USA,USA,F,49.6,Lloyds,0,288.0,37247.04,2020,10,October,14,Domestic,Match,46-55
#2694 780,2020-10-14,Wednesday,14,Visa,Tap,£5,POS,Restaurant,India,India,India,F,42.2,Barclays,0,5.0,646.6500000000001,2020,10,October,14,Domestic,Match,36-45
#2640 960,2020-10-13,Tuesday,14,Visa,Tap,£28,POS,Entertainment,United Kingdom,India,United Kingdom,F,51.0,Barclays,0,28.0,3621.2400000000002,2020,10,October,13,Domestic,Mismatch,46-55
#2771 031,2020-10-13,Tuesday,23,Visa,CVC,£91,Online,Electronics,USA,USA,United Kingdom,M,38.0,Halifax,1,91.0,11769.03,2020,10,October,13,International,Match,36-45
#3446 698,2020-10-13,Tuesday,20,MasterCard,Tap,£30,POS,Children,India,India,India,M,48.4,Monzo,0,30.0,3879.9000000000005,2020,10,October,13,Domestic,Match,46-55
#3652 191,2020-10-13,Tuesday,18,Visa,CVC,£231,Online,Children,United Kingdom,United Kingdom,United Kingdom,M,39.5,Barclays,0,231.0,29875.230000000003,2020,10,October,13,Domestic,Match,36-45
#3161 927,2020-10-13,Tuesday,18,MasterCard,CVC,£154,Online,Services,USA,USA,United Kingdom,M,37.8,HSBC,0,154.0,19916.820000000003,2020,10,October,13,International,Match,36-45
#3025 809,2020-10-13,Tuesday,23,MasterCard,PIN,£39,ATM,Fashion,Russia,Russia,United Kingdom,F,43.3,Metro,0,39.0,5043.870000000001,2020,10,October,13,International,Match,36-45
#3413 696,2020-10-14,Wednesday,23,MasterCard,Tap,£17,POS,Entertainment,India,India,India,M,69.9,Barclays,0,17.0,2198.61,2020,10,October,14,Domestic,Match,65+
#2667 502,2020-10-13,Tuesday,11,Visa,PIN,£326,ATM,Children,United Kingdom,United Kingdom,United Kingdom,F,54.8,Metro,0,326.0,42161.58,2020,10,October,13,Domestic,Match,46-55
#3474 192,2020-10-14,Wednesday,1,MasterCard,PIN,£106,POS,Fashion,Russia,Russia,United Kingdom,F,48.7,Metro,1,106.0,13708.980000000001,2020,10,October,14,International,Match,46-55
#3328 082,2020-10-13,Tuesday,21,MasterCard,PIN,£21,ATM,Restaurant,United Kingdom,United Kingdom,United Kingdom,M,43.6,Barclays,0,21.0,2715.9300000000003,2020,10,October,13,Domestic,Match,36-45
#3409 035,2020-10-13,Tuesday,20,MasterCard,PIN,£211,ATM,Food,United Kingdom,United Kingdom,United Kingdom,F,46.4,HSBC,0,211.0,27288.63,2020,10,October,13,Domestic,Match,46-55
